,path,name,longitude,latitude,deposit_type
0,mrdata_json/mrds/10000154.json,Double Anchor,-130.25982,56.06366,Vein polymetallic
1,mrdata_json/mrds/10000155.json,Hummel,-130.2437,56.06477,Vein polymetallic
2,mrdata_json/mrds/10000156.json,Chickamin,-130.2737,56.07088,Vein polymetallic
3,mrdata_json/mrds/10000157.json,Cathedral,-130.28676,56.07477,Vein polymetallic
4,mrdata_json/mrds/10000158.json,Marietta,-130.25982,56.07588,Vein polymetallic
5,mrdata_json/mrds/10000159.json,Blasher,-130.26676,56.05588,Vein polymetallic
6,mrdata_json/mrds/10000160.json,Morning,-130.26982,56.05283,Vein polymetallic
7,mrdata_json/mrds/10000161.json,Lake,-130.27565,56.05671,Vein polymetallic
8,mrdata_json/mrds/10000163.json,"Marmot, upper basin",-130.37065,56.02588,Vein polymetallic
9,mrdata_json/mrds/10000164.json,Edelweiss,-130.35565,56.02588,Vein polymetallic
10,mrdata_json/mrds/10000165.json,Galena,-130.3337,56.03088,Vein polymetallic
11,mrdata_json/mrds/10000166.json,Jumbo,-130.35176,56.01866,Vein polymetallic
12,mrdata_json/mrds/10000167.json,Unnamed,-130.9818,56.38977,Low-fluorine porphyry molybdenum
13,mrdata_json/mrds/10000168.json,Dugas,-130.27287,56.06283,Vein polymetallic
14,mrdata_json/mrds/10000170.json,Unnamed,-130.39482,56.04671,Vein polymetallic
15,mrdata_json/mrds/10000172.json,Joker,-130.45566,56.20088,Vein polymetallic
16,mrdata_json/mrds/10000174.json,Goat,-130.4187,56.01671,Vein polymetallic
17,mrdata_json/mrds/10000175.json,Cone Mountain,-131.73489,56.51365,Porphyry copper ± gold
18,mrdata_json/mrds/10000177.json,Copper King,-131.98183,56.46975,Vein polymetallic
19,mrdata_json/mrds/10000180.json,Unuk River,-130.77179,56.32977,Vein polymetallic
20,mrdata_json/mrds/10000181.json,Cantu,-130.06564,56.07588,Vein polymetallic
21,mrdata_json/mrds/10000183.json,Gold Cliff Premier,-130.04564,56.05283,Vein polymetallic
22,mrdata_json/mrds/10000184.json,Heckla,-130.33065,56.01171,Vein polymetallic
23,mrdata_json/mrds/10000185.json,Ninety-six,-130.06869,56.04283,Vein polymetallic
24,mrdata_json/mrds/10000186.json,Border,-130.03786,56.04588,Vein polymetallic
25,mrdata_json/mrds/10000187.json,Charles,-130.06981,56.05366,Vein polymetallic
26,mrdata_json/mrds/10000188.json,Virginia,-130.04369,56.03977,Skarn zinc-lead-silver
27,mrdata_json/mrds/10000189.json,Stoner-Clegg-O'Rourke,-130.03481,56.03171,Vein polymetallic
28,mrdata_json/mrds/10000190.json,Stoner,-130.03064,56.03477,Vein polymetallic
29,mrdata_json/mrds/10000192.json,Cripple Creek,-130.06869,56.02477,Vein polymetallic
30,mrdata_json/mrds/10000193.json,Portland,-130.05481,56.02171,Vein polymetallic
31,mrdata_json/mrds/10000194.json,Crest,-130.06481,56.01644,Vein polymetallic
32,mrdata_json/mrds/10000197.json,Hobo,-130.04564,56.02088,Vein polymetallic
33,mrdata_json/mrds/10000200.json,Titan,-130.02369,56.01088,Vein polymetallic
34,mrdata_json/mrds/10000201.json,Juneau,-130.21564,56.02477,Vein polymetallic
35,mrdata_json/mrds/10000202.json,Sunset,-130.21175,56.02171,Vein polymetallic
36,mrdata_json/mrds/10000203.json,Keno,-130.2337,56.03088,Vein polymetallic
37,mrdata_json/mrds/10000204.json,North Star,-130.2237,56.04671,Vein polymetallic
38,mrdata_json/mrds/10000205.json,Jumbo (near Texas Creek),-130.2087,56.05283,Vein polymetallic
39,mrdata_json/mrds/10000206.json,Iron Cap,-130.21565,56.06783,Vein polymetallic
40,mrdata_json/mrds/10000207.json,Silver Bell,-130.20482,56.07477,Vein polymetallic
41,mrdata_json/mrds/10000208.json,Homestake,-130.17065,56.07477,Vein polymetallic
42,mrdata_json/mrds/10000209.json,Bartholf,-130.07064,56.08783,Vein polymetallic
